,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
4,71028597,1,51.19270711760954,-115.62201741067233,1620257.054,2181.1250443522135,1,51.19270711760954,51.19270711760954,4,1620257.0547055416,4,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,756160.0009801845,0.46669138010178624,0.0015575560154278327,0.466691380101786,0.009802136879587102
3,71028597,1,51.19270711760954,-115.62201741067233,1620257.054,2181.1250443522135,1,51.19270711760954,51.19270711760954,4,1620257.0547055416,4,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,864097.0537253579,0.5333086198982143,0.0017798872754430123,0.5333086198982141,0.002154564152674802
10,71028609,2,51.17666920929247,-115.65520996771701,6569698.768,2232.4051443401136,2,51.17666920929247,51.17666920929247,7,6569698.770316738,7,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,10817.532774619875,0.0016465797219646862,2.216320288382522e-05,0.0016465797219646862,6.527350279538876e-05
9,71028609,2,51.17666920929247,-115.65520996771701,6569698.768,2232.4051443401136,2,51.17666920929247,51.17666920929247,7,6569698.770316738,7,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,6558881.237542118,0.9983534202780353,0.01351013662818666,0.9983534202780353,0.01635410089079081
14,71028676,3,51.193487019863504,-115.76115680122626,48650037.18,2301.8800536404706,3,51.193487019863504,51.193487019863504,10,48650037.19400975,10,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,48650037.19400975,1.0,0.10021048188756959,1.0,0.12130538544553907
17,71028700,4,51.218105789163666,-115.8719948967319,2099787.492,2240.0869338322423,4,51.218105789163666,51.218105789163666,13,2099787.4928856906,13,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,815137.6673215544,0.3882000774284683,0.0016790395888340165,0.3882000774284681,0.002140233826503708
18,71028700,4,51.218105789163666,-115.8719948967319,2099787.492,2240.0869338322423,4,51.218105789163666,51.218105789163666,13,2099787.4928856906,13,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,1284649.8255641374,0.6117999225715323,0.002646151688706531,0.611799922571532,0.003203182386709256
21,71028740,5,51.27739635354308,-115.90370145376966,27003628.5,2288.068843562057,5,51.27739635354308,51.27739635354308,16,27003628.515780613,16,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,22087798.087224096,0.8179566710568633,0.0454969619309615,0.8179566710568625,0.05799394938353731
22,71028740,5,51.27739635354308,-115.90370145376966,27003628.5,2288.068843562057,5,51.27739635354308,51.27739635354308,16,27003628.515780613,16,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,4915830.428556539,0.18204332894313754,0.010125742230344775,0.18204332894313738,0.012257271305732622
30,71028852,6,51.31925108644159,-116.03206779274232,36879066.6,2331.4548456084212,6,51.31925108644159,51.31925108644159,19,36879066.61189979,19,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,373869.90648838703,0.010137726923049354,0.0007742786910525857,0.010137726923049359,0.0015275267894020146
29,71028852,6,51.31925108644159,-116.03206779274232,36879066.6,2331.4548456084212,6,51.31925108644159,51.31925108644159,19,36879066.61189979,19,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,36281647.31834377,0.9838005853064825,0.0747337837984878,0.9838005853064831,0.09526146562107667
28,71028852,6,51.31925108644159,-116.03206779274232,36879066.6,2331.4548456084212,6,51.31925108644159,51.31925108644159,19,36879066.61189979,19,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,223549.38706761214,0.006061687770467577,0.00046047224412953545,0.006061687770467581,0.0022085992450151634
35,71028904,7,51.330588951300555,-116.12205365900671,8114969.735,2253.423467422212,7,51.330588951300555,51.330588951300555,22,8114969.737102021,22,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,4494061.64061851,0.553798940256234,0.009256973038742188,0.5537989402562341,0.011799654374026435
36,71028904,7,51.330588951300555,-116.12205365900671,8114969.735,2253.423467422212,7,51.330588951300555,51.330588951300555,22,8114969.737102021,22,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,26881.48061126176,0.0033125792802847277,5.5671123190252605e-05,0.0033125792802847285,0.00010983013358356146
34,71028904,7,51.330588951300555,-116.12205365900671,8114969.735,2253.423467422212,7,51.330588951300555,51.330588951300555,22,8114969.737102021,22,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,3594026.6158722485,0.44288848046348106,0.0074030598919577325,0.44288848046348117,0.03550787848046788
43,71028957,8,51.398552760760474,-116.12668341013695,5946902.48,2263.222648965515,8,51.398552760760474,51.398552760760474,25,5946902.482046509,25,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,2251780.2118817237,0.3786475763945633,0.004638269426961367,0.3786475763945633,0.022246896496289203
42,71028957,8,51.398552760760474,-116.12668341013695,5946902.48,2263.222648965515,8,51.398552760760474,51.398552760760474,25,5946902.482046509,25,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,45726.56000508662,0.007689139033830386,9.4698985964448e-05,0.007689139033830386,0.0001072711401806702
45,71028957,8,51.398552760760474,-116.12668341013695,5946902.48,2263.222648965515,8,51.398552760760474,51.398552760760474,25,5946902.482046509,25,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,3649395.7101596985,0.6136632845716062,0.007557841068663657,0.6136632845716062,0.014910399622043085
52,71028974,9,51.45400502057942,-116.14639563872606,4495103.534,2256.672683114219,9,51.45400502057942,51.45400502057942,28,4495103.535290851,28,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,4352536.737825639,0.9682839791462138,0.009014035068442575,0.9682839791462138,0.010210730448406199
53,71028974,9,51.45400502057942,-116.14639563872606,4495103.534,2256.672683114219,9,51.45400502057942,51.45400502057942,28,4495103.535290851,28,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.57163244,7,142566.79746521325,0.031716020853786324,0.00029366241629332927,0.031716020853786324,0.001408516146593893
55,71029016,10,51.39695117462826,-116.20345527944086,220462.554,2106.7463736185214,10,51.39695117462826,51.39695117462826,30,220462.55386486737,30,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,220462.55386486737,1.0,0.000456574478635896,1.0,0.0005171889054762921
59,71029528,11,51.540533309736844,-116.28506595784874,29203533.81,2306.797862832942,11,51.540533309736844,51.540533309736844,34,29203533.822367415,34,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,29203533.822367415,1.0,0.06048005883777427,1.0,0.068509338338192
61,71029778,12,51.616607583262194,-116.30136624932989,18671533.46,2429.18112792269,12,51.616607583262194,51.616607583262194,36,18671533.474220823,36,5.0,51.75,-116.25,2284,51.75,-116.25,5,51.75,-116.25,480236308.72817594,5,6202535.523192826,0.3321920790146382,0.012915590534208429,0.3321920790146386,0.045919656359065815
62,71029778,12,51.616607583262194,-116.30136624932989,18671533.46,2429.18112792269,12,51.616607583262194,51.616607583262194,36,18671533.474220823,36,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,12468997.951027974,0.6678079209853606,0.025823098475454456,0.6678079209853613,0.02925135035236459
65,71029798,13,51.1345580939296,-115.66120880390667,1092334.807,2193.0411298393024,13,51.1345580939296,51.1345580939296,38,1092334.8072170464,38,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,1092334.8072170464,1.0,0.0022500167261385734,1.0,0.002723658654085424
