,Unnamed: 0,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,4,71028597,1,51.19270711760954,-115.62201741067231,1620257.054,2181.125044352213,1,51.19270711760954,51.19270711760954,4,1620257.0547055416,4,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,756160.0009801845,0.4666913801017862,0.0015575560154278,0.466691380101786,0.0098021368795871,2.0,4.0,1
1,3,71028597,1,51.19270711760954,-115.62201741067231,1620257.054,2181.125044352213,1,51.19270711760954,51.19270711760954,4,1620257.0547055416,4,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,864097.0537253579,0.5333086198982143,0.001779887275443,0.5333086198982141,0.0021545641526748,2.0,3.0,1
2,10,71028609,2,51.17666920929247,-115.655209967717,6569698.768,2232.4051443401136,2,51.17666920929247,51.17666920929247,7,6569698.770316738,7,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,10817.532774619876,0.0016465797219646,2.216320288382522e-05,0.0016465797219646,6.527350279538876e-05,3.0,3.0,1
3,9,71028609,2,51.17666920929247,-115.655209967717,6569698.768,2232.4051443401136,2,51.17666920929247,51.17666920929247,7,6569698.770316738,7,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,6558881.237542118,0.9983534202780352,0.0135101366281866,0.9983534202780352,0.0163541008907908,2.0,3.0,1
4,14,71028676,3,51.193487019863504,-115.76115680122626,48650037.18,2301.8800536404706,3,51.193487019863504,51.193487019863504,10,48650037.19400975,10,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,48650037.19400975,1.0,0.1002104818875695,1.0,0.121305385445539,2.0,3.0,1
5,17,71028700,4,51.21810578916367,-115.8719948967319,2099787.492,2240.0869338322423,4,51.21810578916367,51.21810578916367,13,2099787.49288569,13,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,815137.6673215544,0.3882000774284683,0.001679039588834,0.3882000774284681,0.0021402338265037,2.0,2.0,1
6,18,71028700,4,51.21810578916367,-115.8719948967319,2099787.492,2240.0869338322423,4,51.21810578916367,51.21810578916367,13,2099787.49288569,13,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,1284649.8255641374,0.6117999225715323,0.0026461516887065,0.611799922571532,0.0032031823867092,2.0,3.0,1
7,21,71028740,5,51.27739635354308,-115.90370145376966,27003628.5,2288.068843562057,5,51.27739635354308,51.27739635354308,16,27003628.515780613,16,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,22087798.087224096,0.8179566710568633,0.0454969619309615,0.8179566710568625,0.0579939493835373,2.0,2.0,1
8,22,71028740,5,51.27739635354308,-115.90370145376966,27003628.5,2288.068843562057,5,51.27739635354308,51.27739635354308,16,27003628.515780613,16,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,4915830.428556539,0.1820433289431375,0.0101257422303447,0.1820433289431373,0.0122572713057326,2.0,3.0,1
9,30,71028852,6,51.31925108644159,-116.03206779274232,36879066.6,2331.454845608421,6,51.31925108644159,51.31925108644159,19,36879066.61189979,19,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,373869.90648838703,0.0101377269230493,0.0007742786910525,0.0101377269230493,0.001527526789402,1.0,2.0,1
10,29,71028852,6,51.31925108644159,-116.03206779274232,36879066.6,2331.454845608421,6,51.31925108644159,51.31925108644159,19,36879066.61189979,19,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,36281647.31834377,0.9838005853064824,0.0747337837984878,0.9838005853064832,0.0952614656210766,2.0,2.0,1
11,28,71028852,6,51.31925108644159,-116.03206779274232,36879066.6,2331.454845608421,6,51.31925108644159,51.31925108644159,19,36879066.61189979,19,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,223549.38706761212,0.0060616877704675,0.0004604722441295,0.0060616877704675,0.0022085992450151,2.0,1.0,1
12,35,71028904,7,51.33058895130056,-116.12205365900672,8114969.735,2253.423467422212,7,51.33058895130056,51.33058895130056,22,8114969.737102021,22,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,4494061.64061851,0.553798940256234,0.0092569730387421,0.5537989402562341,0.0117996543740264,2.0,2.0,1
13,36,71028904,7,51.33058895130056,-116.12205365900672,8114969.735,2253.423467422212,7,51.33058895130056,51.33058895130056,22,8114969.737102021,22,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,26881.48061126176,0.0033125792802847,5.5671123190252605e-05,0.0033125792802847,0.0001098301335835,1.0,2.0,1
14,34,71028904,7,51.33058895130056,-116.12205365900672,8114969.735,2253.423467422212,7,51.33058895130056,51.33058895130056,22,8114969.737102021,22,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,3594026.6158722485,0.442888480463481,0.0074030598919577,0.4428884804634811,0.0355078784804678,2.0,1.0,1
15,43,71028957,8,51.39855276076048,-116.12668341013696,5946902.48,2263.222648965515,8,51.39855276076048,51.39855276076048,25,5946902.482046509,25,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,2251780.211881724,0.3786475763945633,0.0046382694269613,0.3786475763945633,0.0222468964962892,2.0,1.0,1
16,42,71028957,8,51.39855276076048,-116.12668341013696,5946902.48,2263.222648965515,8,51.39855276076048,51.39855276076048,25,5946902.482046509,25,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,45726.56000508662,0.0076891390338303,9.4698985964448e-05,0.0076891390338303,0.0001072711401806,1.0,1.0,1
17,45,71028957,8,51.39855276076048,-116.12668341013696,5946902.48,2263.222648965515,8,51.39855276076048,51.39855276076048,25,5946902.482046509,25,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,3649395.7101596985,0.6136632845716062,0.0075578410686636,0.6136632845716062,0.014910399622043,1.0,2.0,1
18,52,71028974,9,51.45400502057942,-116.14639563872606,4495103.534,2256.672683114219,9,51.45400502057942,51.45400502057942,28,4495103.535290851,28,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,4352536.737825639,0.9682839791462138,0.0090140350684425,0.9682839791462138,0.0102107304484061,1.0,1.0,1
19,53,71028974,9,51.45400502057942,-116.14639563872606,4495103.534,2256.672683114219,9,51.45400502057942,51.45400502057942,28,4495103.535290851,28,7.0,51.25,-116.25,1999,51.25,-116.25,7,51.25,-116.25,485478527.5716325,7,142566.79746521325,0.0317160208537863,0.0002936624162933,0.0317160208537863,0.0014085161465938,2.0,1.0,1
20,55,71029016,10,51.39695117462826,-116.20345527944086,220462.554,2106.7463736185214,10,51.39695117462826,51.39695117462826,30,220462.55386486737,30,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,220462.55386486737,1.0,0.0004565744786358,1.0,0.0005171889054762,1.0,1.0,1
21,59,71029528,11,51.54053330973685,-116.28506595784874,29203533.81,2306.797862832942,11,51.54053330973685,51.54053330973685,34,29203533.82236741,34,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,29203533.82236741,1.0,0.0604800588377742,1.0,0.068509338338192,1.0,1.0,1
22,61,71029778,12,51.616607583262194,-116.30136624932987,18671533.46,2429.18112792269,12,51.616607583262194,51.616607583262194,36,18671533.474220823,36,5.0,51.75,-116.25,2284,51.75,-116.25,5,51.75,-116.25,480236308.728176,5,6202535.523192826,0.3321920790146382,0.0129155905342084,0.3321920790146386,0.0459196563590658,0.0,1.0,1
